cid,id,name,type,characters
圣泉镇,1,圣泉镇,城市,伊沙尔:(100~100)×1
地下城,2,地下城,城市,阿玛图:(100~100)×1
雾都,3,雾都,城市,鲁尔:(100~100)×1
绿洲营地,4,绿洲营地,城市,萨尔:(100~100)×1
清泉平原,101,清泉平原,平原,牛:(1~15)×30;马:(5~20)×30;鹿:(5~20)×30;狼:(20~35)×20;清水×20;草丛×40;稻穗×40;麦穗×40;菜垄×40;瓜藤×40
星落丘陵,102,星落丘陵,丘陵,鹿:(5~20)×30;羊:(1~15)×30;狼:(20~35)×20;狐狸:(15~25)×20;草丛×40
银光群岛,103,银光群岛,岛屿,生肉×40;兽皮×40;药草×40
灰烬山脉,104,灰烬山脉,山脉,羊:(1~15)×30;鹿:(5~20)×30;熊:(40~60)×15;狼:(20~35)×20;豹:(45~60)×15;铁矿×60;银矿×20;金矿×20;草丛×40;菜垄×40
大沙漠,105,大沙漠,沙漠,蜥蜴:(10~25)×30;草丛×40;瓜藤×40
神锤火山,106,神锤火山,火山,金矿×40;铁矿×40;银矿×40
云雾高原,107,云雾高原,高原,羊:(1~15)×30;狼:(20~35)×20;草丛×40;菜垄×40
古湖盆地,108,古湖盆地,盆地,鹿:(5~20)×30;狼:(20~35)×20;马:(5~20)×20;虎:(45~60)×15;熊:(40~60)×15;草丛×40;稻穗×40;麦穗×40
浊水沼泽,109,浊水沼泽,湿地,鳄鱼:(30~45)×20;蛇:(1~10)×30;草丛×40;稻穗×40
北境冰海,110,北境冰海,冰川,兽皮×40;羊绒×40;生肉×40;清水×40
深渊海岸,111,深渊海岸,海岸,金矿×40;清水×40
黑渊峡谷,112,黑渊峡谷,峡谷,羊:(1~15)×30;狼:(20~35)×20;金矿×40;清水×40;草丛×20
