游戏日,烹饪店,轻装店,重装店
1,48[187] - 0[0],27[108] - 2[60],0[0] - 0[0]
2,323[1012] - 22[680],2[8] - 18[565],0[0] - 0[0]
3,607[1864] - 66[1920],3[12] - 30[935],0[0] - 0[0]
4,867[2644] - 88[2590],3[12] - 49[1520],0[0] - 0[0]
5,1129[3430] - 110[3260],6[24] - 58[1800],0[0] - 0[0]
6,1327[4024] - 124[3650],0[0] - 75[2345],0[0] - 0[0]
7,1392[4219] - 135[3960],2[8] - 87[2720],0[0] - 0[0]
8,1392[4219] - 135[3960],2[8] - 87[2720],0[0] - 0[0]
9,1392[4219] - 133[3920],2[8] - 87[2720],0[0] - 0[0]
10,1392[4219] - 134[3940],2[8] - 87[2720],0[0] - 0[0]
11,1392[4219] - 127[3800],2[8] - 87[2720],0[0] - 0[0]
1,101[378] - 0[0],3[12] - 0[0],0[0] - 0[0]
2,360[1116] - 52[1390],1[4] - 14[435],0[0] - 0[0]
3,488[1500] - 91[2520],0[0] - 27[845],0[0] - 0[0]
4,805[2451] - 110[3080],3[12] - 42[1320],0[0] - 0[0]
5,1198[3630] - 110[3080],1[4] - 53[1675],0[0] - 0[0]
6,1605[4851] - 108[3020],3[12] - 70[2220],0[0] - 0[0]
7,1775[5361] - 109[3050],0[0] - 80[2535],0[0] - 0[0]
8,1775[5361] - 109[3050],0[0] - 80[2535],0[0] - 0[0]
9,1775[5361] - 105[2930],0[0] - 80[2535],0[0] - 0[0]
10,1775[5361] - 108[3020],0[0] - 80[2535],0[0] - 0[0]
1,136[408] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,232[696] - 26[1030],6[24] - 13[420],0[0] - 0[0]
3,518[1554] - 57[2270],4[16] - 25[805],0[0] - 0[0]
4,703[2109] - 85[3370],6[24] - 37[1180],0[0] - 0[0]
5,693[2079] - 120[4780],2[8] - 46[1470],0[0] - 0[0]
6,610[1830] - 151[5960],3[12] - 59[1870],0[0] - 0[0]
7,525[1575] - 188[7360],3[12] - 69[2180],0[0] - 0[0]
8,529[1587] - 217[8460],5[20] - 83[2620],0[0] - 0[0]
9,654[1962] - 248[9710],4[16] - 94[2980],0[0] - 0[0]
10,651[1953] - 285[11130],1[4] - 102[3225],0[0] - 0[0]
11,649[1947] - 317[12400],7[28] - 109[3445],0[0] - 0[0]
12,621[1863] - 354[13910],2[8] - 120[3780],0[0] - 0[0]
13,597[1791] - 360[14140],5[20] - 128[4025],0[0] - 0[0]
14,597[1791] - 365[14340],5[20] - 128[4025],0[0] - 0[0]
15,597[1791] - 363[14260],5[20] - 128[4025],0[0] - 0[0]
16,597[1791] - 363[14260],5[20] - 128[4025],0[0] - 0[0]
17,597[1791] - 368[14460],5[20] - 128[4025],0[0] - 0[0]
18,597[1791] - 368[14460],5[20] - 128[4025],0[0] - 0[0]
19,597[1791] - 363[14260],5[20] - 128[4025],0[0] - 0[0]
20,597[1791] - 365[14340],5[20] - 128[4025],0[0] - 0[0]
21,597[1791] - 360[14140],5[20] - 128[4025],0[0] - 0[0]
22,597[1791] - 363[14260],5[20] - 128[4025],0[0] - 0[0]
23,597[1791] - 367[14420],5[20] - 128[4025],0[0] - 0[0]
24,597[1791] - 367[14420],5[20] - 128[4025],0[0] - 0[0]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,397[1191] - 18[640],0[0] - 19[600],0[0] - 0[0]
3,325[975] - 58[2210],7[28] - 37[1170],0[0] - 0[0]
4,434[1302] - 84[3220],1[4] - 53[1665],0[0] - 0[0]
5,340[1020] - 120[4680],4[16] - 64[2015],0[0] - 0[0]
6,198[594] - 163[6360],3[12] - 73[2290],0[0] - 0[0]
7,423[1269] - 174[6820],4[16] - 79[2480],0[0] - 0[0]
8,746[2238] - 180[7050],2[8] - 89[2790],0[0] - 0[0]
