游戏日,烹饪店,轻装店,重装店
1,0[0] - 0[0],0[0] - 0[0],9[45] - 2[175]
2,13[52] - 14[140],0[0] - 0[0],8[40] - 7[520]
3,1[4] - 31[310],0[0] - 0[0],8[40] - 9[645]
4,9[36] - 39[390],0[0] - 0[0],4[20] - 10[695]
5,9[36] - 38[380],0[0] - 0[0],4[20] - 10[695]
6,9[36] - 34[340],0[0] - 0[0],4[20] - 10[695]
7,9[36] - 38[380],0[0] - 0[0],4[20] - 10[695]
8,9[36] - 38[380],0[0] - 0[0],4[20] - 10[695]
9,9[36] - 33[330],0[0] - 0[0],4[20] - 10[695]
10,9[36] - 37[370],0[0] - 0[0],4[20] - 10[695]
11,9[36] - 31[310],0[0] - 0[0],4[20] - 10[695]
1,0[0] - 0[0],0[0] - 0[0],1[5] - 3[215]
2,0[0] - 13[130],0[0] - 0[0],0[0] - 8[560]
3,5[20] - 34[340],0[0] - 0[0],9[45] - 10[660]
4,2[8] - 32[320],0[0] - 0[0],0[0] - 11[710]
5,2[8] - 33[330],0[0] - 0[0],0[0] - 11[710]
6,2[8] - 28[280],0[0] - 0[0],0[0] - 11[710]
7,2[8] - 32[320],0[0] - 0[0],0[0] - 11[710]
8,2[8] - 32[320],0[0] - 0[0],0[0] - 11[710]
9,2[8] - 26[260],0[0] - 0[0],0[0] - 11[710]
10,2[8] - 30[300],0[0] - 0[0],0[0] - 11[710]
1,0[0] - 0[0],0[0] - 0[0],4[20] - 3[210]
2,9[36] - 6[60],0[0] - 0[0],0[0] - 9[605]
3,58[232] - 9[90],0[0] - 0[0],5[25] - 11[705]
4,43[172] - 5[50],0[0] - 0[0],9[45] - 11[705]
5,43[172] - 12[120],0[0] - 0[0],9[45] - 11[705]
6,43[172] - 4[40],0[0] - 0[0],9[45] - 11[705]
7,43[172] - 2[20],0[0] - 0[0],9[45] - 11[705]
8,43[172] - 10[100],0[0] - 0[0],9[45] - 11[705]
9,43[172] - 9[90],0[0] - 0[0],9[45] - 11[705]
10,43[172] - 4[40],0[0] - 0[0],9[45] - 11[705]
11,43[172] - 8[80],0[0] - 0[0],9[45] - 11[705]
12,43[172] - 10[100],0[0] - 0[0],9[45] - 11[705]
13,43[172] - 1[10],0[0] - 0[0],9[45] - 11[705]
14,43[172] - 5[50],0[0] - 0[0],9[45] - 11[705]
15,43[172] - 3[30],0[0] - 0[0],9[45] - 11[705]
16,43[172] - 1[10],0[0] - 0[0],9[45] - 11[705]
17,43[172] - 7[70],0[0] - 0[0],9[45] - 11[705]
18,43[172] - 7[70],0[0] - 0[0],9[45] - 11[705]
19,43[172] - 1[10],0[0] - 0[0],9[45] - 11[705]
20,64[256] - 3[30],0[0] - 0[0],9[45] - 11[705]
21,64[256] - 0[0],0[0] - 0[0],9[45] - 11[705]
22,64[256] - 0[0],0[0] - 0[0],9[45] - 11[705]
23,61[244] - 5[50],0[0] - 0[0],9[45] - 11[705]
24,61[244] - 5[50],0[0] - 0[0],9[45] - 11[705]
1,0[0] - 0[0],0[0] - 0[0],10[50] - 2[180]
2,8[32] - 3[30],0[0] - 0[0],1[5] - 10[620]
3,8[32] - 3[30],0[0] - 0[0],9[45] - 12[735]
