游戏日,烹饪店,轻装店,重装店
1,105[420] - 0[0],3[12] - 2[60],0[0] - 0[0]
2,183[732] - 32[320],6[24] - 9[270],0[0] - 0[0]
3,260[1040] - 65[650],1[4] - 26[825],0[0] - 0[0]
4,277[1108] - 79[790],0[0] - 40[1260],0[0] - 0[0]
5,277[1108] - 79[790],0[0] - 40[1260],0[0] - 0[0]
6,277[1108] - 74[740],0[0] - 40[1260],0[0] - 0[0]
7,277[1108] - 78[780],0[0] - 40[1260],0[0] - 0[0]
8,277[1108] - 78[780],0[0] - 40[1260],0[0] - 0[0]
9,277[1108] - 73[730],0[0] - 40[1260],0[0] - 0[0]
10,277[1108] - 77[770],0[0] - 40[1260],0[0] - 0[0]
11,277[1108] - 70[700],0[0] - 40[1260],0[0] - 0[0]
1,33[132] - 2[20],0[0] - 6[185],0[0] - 0[0]
2,211[844] - 33[330],1[4] - 19[595],0[0] - 0[0]
3,292[1168] - 63[630],0[0] - 45[1410],0[0] - 0[0]
4,257[1028] - 76[760],7[28] - 61[1905],0[0] - 0[0]
5,257[1028] - 76[760],7[28] - 61[1905],0[0] - 0[0]
6,257[1028] - 71[710],7[28] - 61[1905],0[0] - 0[0]
7,257[1028] - 75[750],7[28] - 61[1905],0[0] - 0[0]
8,257[1028] - 75[750],7[28] - 61[1905],0[0] - 0[0]
9,257[1028] - 70[700],7[28] - 61[1905],0[0] - 0[0]
10,257[1028] - 74[740],7[28] - 61[1905],0[0] - 0[0]
1,105[420] - 0[0],4[16] - 1[30],0[0] - 0[0]
2,84[336] - 6[60],4[16] - 1[30],0[0] - 0[0]
3,84[336] - 6[60],4[16] - 1[30],0[0] - 0[0]
4,84[336] - 0[0],4[16] - 1[30],0[0] - 0[0]
5,81[324] - 4[40],4[16] - 1[30],0[0] - 0[0]
6,78[312] - 1[10],4[16] - 1[30],0[0] - 0[0]
7,78[312] - 0[0],4[16] - 1[30],0[0] - 0[0]
8,78[312] - 4[40],4[16] - 1[30],0[0] - 0[0]
9,78[312] - 0[0],4[16] - 1[30],0[0] - 0[0]
10,75[300] - 0[0],4[16] - 1[30],0[0] - 0[0]
11,72[288] - 5[50],4[16] - 1[30],0[0] - 0[0]
12,72[288] - 0[0],4[16] - 1[30],0[0] - 0[0]
13,72[288] - 0[0],4[16] - 1[30],0[0] - 0[0]
14,72[288] - 5[50],4[16] - 1[30],0[0] - 0[0]
15,72[288] - 0[0],4[16] - 1[30],0[0] - 0[0]
16,72[288] - 0[0],4[16] - 1[30],0[0] - 0[0]
17,66[264] - 5[50],4[16] - 1[30],0[0] - 0[0]
18,66[264] - 0[0],4[16] - 1[30],0[0] - 0[0]
19,63[252] - 3[30],4[16] - 1[30],0[0] - 0[0]
20,63[252] - 6[60],4[16] - 1[30],0[0] - 0[0]
21,63[252] - 0[0],4[16] - 1[30],0[0] - 0[0]
22,63[252] - 1[10],4[16] - 1[30],0[0] - 0[0]
23,63[252] - 4[40],4[16] - 1[30],0[0] - 0[0]
24,63[252] - 0[0],4[16] - 1[30],0[0] - 0[0]
1,106[424] - 0[0],7[28] - 1[30],0[0] - 0[0]
2,76[304] - 2[20],7[28] - 1[30],0[0] - 0[0]
3,76[304] - 3[30],7[28] - 1[30],0[0] - 0[0]
4,63[252] - 1[10],18[72] - 11[360],0[0] - 0[0]
5,63[252] - 3[30],2[8] - 13[420],0[0] - 0[0]
6,63[252] - 2[20],2[8] - 13[420],0[0] - 0[0]
7,88[352] - 1[10],7[28] - 20[650],0[0] - 0[0]
8,88[352] - 2[20],7[28] - 20[650],0[0] - 0[0]
9,88[352] - 2[20],7[28] - 20[650],0[0] - 0[0]
10,112[448] - 2[20],0[0] - 28[905],0[0] - 0[0]
11,420[1680] - 9[90],9[36] - 50[1610],0[0] - 0[0]
12,631[2524] - 16[160],1[4] - 62[1985],0[0] - 0[0]
13,687[2748] - 11[110],0[0] - 76[2435],0[0] - 0[0]
14,687[2748] - 15[150],0[0] - 76[2435],0[0] - 0[0]
15,687[2748] - 10[100],0[0] - 76[2435],0[0] - 0[0]
16,687[2748] - 10[100],0[0] - 76[2435],0[0] - 0[0]
17,687[2748] - 15[150],0[0] - 76[2435],0[0] - 0[0]
18,687[2748] - 17[170],0[0] - 76[2435],0[0] - 0[0]
19,687[2748] - 7[70],0[0] - 76[2435],0[0] - 0[0]
20,687[2748] - 13[130],0[0] - 76[2435],0[0] - 0[0]
21,687[2748] - 8[80],0[0] - 76[2435],0[0] - 0[0]
22,687[2748] - 12[120],0[0] - 76[2435],0[0] - 0[0]
23,687[2748] - 12[120],0[0] - 76[2435],0[0] - 0[0]
24,687[2748] - 7[70],0[0] - 76[2435],0[0] - 0[0]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,72[288] - 2[20],6[24] - 3[95],0[0] - 0[0]
3,72[288] - 1[10],6[24] - 3[95],0[0] - 0[0]
4,51[204] - 1[10],6[24] - 3[95],0[0] - 0[0]
5,247[988] - 19[190],3[12] - 28[875],0[0] - 0[0]
6,415[1660] - 34[340],1[4] - 48[1515],0[0] - 0[0]
7,515[2060] - 40[400],2[8] - 61[1920],0[0] - 0[0]
8,515[2060] - 40[400],2[8] - 61[1920],0[0] - 0[0]
9,515[2060] - 35[350],2[8] - 61[1920],0[0] - 0[0]
10,515[2060] - 39[390],2[8] - 61[1920],0[0] - 0[0]
11,515[2060] - 39[390],2[8] - 61[1920],0[0] - 0[0]
12,515[2060] - 36[360],2[8] - 61[1920],0[0] - 0[0]
13,515[2060] - 39[390],2[8] - 61[1920],0[0] - 0[0]
14,515[2060] - 41[410],2[8] - 61[1920],0[0] - 0[0]
15,515[2060] - 41[410],2[8] - 61[1920],0[0] - 0[0]
16,515[2060] - 40[400],2[8] - 61[1920],0[0] - 0[0]
17,515[2060] - 40[400],2[8] - 61[1920],0[0] - 0[0]
18,515[2060] - 40[400],2[8] - 61[1920],0[0] - 0[0]
19,515[2060] - 39[390],2[8] - 61[1920],0[0] - 0[0]
20,515[2060] - 39[390],2[8] - 61[1920],0[0] - 0[0]
21,515[2060] - 39[390],2[8] - 61[1920],0[0] - 0[0]
22,515[2060] - 38[380],2[8] - 61[1920],0[0] - 0[0]
23,515[2060] - 38[380],2[8] - 61[1920],0[0] - 0[0]
24,515[2060] - 38[380],2[8] - 61[1920],0[0] - 0[0]
25,515[2060] - 36[360],2[8] - 61[1920],0[0] - 0[0]
26,515[2060] - 29[290],2[8] - 61[1920],0[0] - 0[0]
27,515[2060] - 36[360],2[8] - 61[1920],0[0] - 0[0]
28,515[2060] - 35[350],2[8] - 61[1920],0[0] - 0[0]
29,515[2060] - 35[350],2[8] - 61[1920],0[0] - 0[0]
30,515[2060] - 36[360],2[8] - 61[1920],0[0] - 0[0]
31,515[2060] - 34[340],2[8] - 61[1920],0[0] - 0[0]
32,515[2060] - 35[350],2[8] - 61[1920],0[0] - 0[0]
33,515[2060] - 33[330],2[8] - 61[1920],0[0] - 0[0]
34,515[2060] - 30[300],2[8] - 61[1920],0[0] - 0[0]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,143[572] - 3[30],2[8] - 9[280],0[0] - 0[0]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,100[400] - 25[250],1[4] - 7[225],0[0] - 0[0]
3,153[612] - 61[610],72[288] - 29[915],0[0] - 0[0]
4,234[936] - 94[940],1[4] - 49[1550],0[0] - 0[0]
5,234[936] - 88[880],1[4] - 49[1550],0[0] - 0[0]
6,234[936] - 92[920],1[4] - 49[1550],0[0] - 0[0]
7,234[936] - 91[910],1[4] - 49[1550],0[0] - 0[0]
8,234[936] - 86[860],1[4] - 49[1550],0[0] - 0[0]
9,234[936] - 92[920],1[4] - 49[1550],0[0] - 0[0]
10,234[936] - 91[910],1[4] - 49[1550],0[0] - 0[0]
11,234[936] - 86[860],1[4] - 49[1550],0[0] - 0[0]
12,234[936] - 91[910],1[4] - 49[1550],0[0] - 0[0]
13,234[936] - 89[890],1[4] - 49[1550],0[0] - 0[0]
14,234[936] - 84[840],1[4] - 49[1550],0[0] - 0[0]
15,234[936] - 89[890],1[4] - 49[1550],0[0] - 0[0]
16,234[936] - 89[890],1[4] - 49[1550],0[0] - 0[0]
17,234[936] - 84[840],1[4] - 49[1550],0[0] - 0[0]
18,234[936] - 89[890],1[4] - 49[1550],0[0] - 0[0]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,142[568] - 12[120],3[12] - 6[185],0[0] - 0[0]
3,181[724] - 40[400],5[20] - 18[580],0[0] - 0[0]
4,273[1092] - 71[710],0[0] - 34[1085],0[0] - 0[0]
5,383[1532] - 91[910],3[12] - 52[1655],0[0] - 0[0]
6,416[1664] - 122[1220],6[24] - 69[2200],0[0] - 0[0]
7,510[2040] - 148[1480],3[12] - 84[2665],0[0] - 0[0]
8,596[2384] - 163[1630],0[0] - 93[2945],0[0] - 0[0]
9,646[2584] - 188[1880],4[16] - 102[3230],0[0] - 0[0]
1,125[500] - 3[30],3[12] - 10[315],0[0] - 0[0]
2,239[956] - 35[350],50[200] - 28[885],0[0] - 0[0]
3,356[1424] - 61[610],0[0] - 55[1740],0[0] - 0[0]
4,451[1804] - 76[760],4[16] - 72[2270],0[0] - 0[0]
1,86[344] - 7[70],0[0] - 13[395],0[0] - 0[0]
2,153[612] - 30[300],7[28] - 34[1045],0[0] - 0[0]
3,194[776] - 71[710],1[4] - 50[1560],0[0] - 0[0]
4,288[1152] - 97[970],2[8] - 65[2045],0[0] - 0[0]
5,367[1468] - 131[1310],5[20] - 77[2410],0[0] - 0[0]
1,2[8] - 5[50],1[4] - 8[240],2[10] - 1[50]
2,132[528] - 41[410],2[8] - 23[710],2[10] - 2[100]
3,162[648] - 78[780],2[8] - 42[1310],7[35] - 2[100]
4,308[1232] - 99[990],4[16] - 55[1725],8[40] - 2[100]
5,406[1624] - 132[1320],6[24] - 69[2180],4[20] - 4[250]
6,485[1940] - 171[1710],5[20] - 82[2595],5[25] - 5[340]
7,498[1992] - 198[1980],1[4] - 94[2970],6[30] - 5[340]
8,550[2200] - 229[2290],1[4] - 103[3265],6[30] - 5[340]
9,522[2088] - 261[2610],7[28] - 111[3520],6[30] - 5[340]
10,458[1832] - 283[2830],7[28] - 121[3845],6[30] - 5[340]
11,356[1424] - 326[3260],7[28] - 128[4075],6[30] - 5[340]
1,98[392] - 9[90],94[376] - 1[30],2[10] - 1[50]
2,201[804] - 39[390],38[152] - 26[810],9[45] - 1[50]
3,313[1252] - 67[670],3[12] - 43[1330],1[5] - 2[115]
4,393[1572] - 87[870],2[8] - 62[1945],6[30] - 2[115]
1,120[480] - 8[80],1[4] - 9[285],0[0] - 1[65]
2,223[892] - 35[350],2[8] - 27[860],1[5] - 2[115]
