游戏日,烹饪店,轻装店,重装店
1,82[328] - 0[0],0[0] - 4[120],0[0] - 0[0]
2,252[1008] - 0[0],0[0] - 23[710],0[0] - 0[0]
3,442[1768] - 0[0],3[12] - 40[1260],0[0] - 0[0]
4,551[2204] - 0[0],2[8] - 61[1920],0[0] - 0[0]
5,715[2860] - 0[0],7[28] - 74[2335],0[0] - 0[0]
6,888[3552] - 0[0],13[52] - 87[2745],0[0] - 0[0]
7,1026[4104] - 0[0],0[0] - 100[3145],0[0] - 0[0]
8,1149[4596] - 0[0],3[12] - 110[3460],0[0] - 0[0]
9,1250[5000] - 0[0],2[8] - 122[3830],0[0] - 0[0]
10,1357[5428] - 0[0],3[12] - 132[4135],0[0] - 0[0]
11,1433[5732] - 0[0],1[4] - 138[4335],0[0] - 0[0]
1,78[312] - 0[0],5[20] - 3[90],0[0] - 0[0]
2,291[1164] - 0[0],20[80] - 17[530],0[0] - 0[0]
3,483[1932] - 0[0],4[16] - 32[995],0[0] - 0[0]
4,632[2528] - 0[0],7[28] - 45[1410],0[0] - 0[0]
5,790[3160] - 0[0],2[8] - 61[1915],0[0] - 0[0]
6,959[3836] - 0[0],6[24] - 75[2365],0[0] - 0[0]
7,1086[4344] - 0[0],5[20] - 88[2770],0[0] - 0[0]
8,1222[4888] - 0[0],0[0] - 99[3120],0[0] - 0[0]
9,1344[5376] - 0[0],7[28] - 107[3370],0[0] - 0[0]
10,1434[5736] - 0[0],7[28] - 115[3625],0[0] - 0[0]
1,32[128] - 1[20],7[28] - 3[100],0[0] - 0[0]
2,95[380] - 23[460],3[12] - 23[735],0[0] - 0[0]
3,135[540] - 55[1100],18[72] - 42[1335],0[0] - 0[0]
4,178[712] - 85[1700],4[16] - 59[1870],0[0] - 0[0]
5,219[876] - 110[2200],3[12] - 77[2430],0[0] - 0[0]
6,193[772] - 141[2820],0[0] - 93[2925],0[0] - 0[0]
7,221[884] - 140[2800],7[28] - 103[3240],0[0] - 0[0]
8,221[884] - 148[2960],7[28] - 103[3240],0[0] - 0[0]
9,221[884] - 148[2960],7[28] - 103[3240],0[0] - 0[0]
10,221[884] - 143[2860],7[28] - 103[3240],0[0] - 0[0]
11,221[884] - 148[2960],7[28] - 103[3240],0[0] - 0[0]
12,221[884] - 148[2960],7[28] - 103[3240],0[0] - 0[0]
13,221[884] - 139[2780],7[28] - 103[3240],0[0] - 0[0]
14,221[884] - 144[2880],7[28] - 103[3240],0[0] - 0[0]
15,221[884] - 142[2840],7[28] - 103[3240],0[0] - 0[0]
16,221[884] - 142[2840],7[28] - 103[3240],0[0] - 0[0]
17,221[884] - 147[2940],7[28] - 103[3240],0[0] - 0[0]
18,221[884] - 147[2940],7[28] - 103[3240],0[0] - 0[0]
19,221[884] - 141[2820],7[28] - 103[3240],0[0] - 0[0]
20,221[884] - 143[2860],7[28] - 103[3240],0[0] - 0[0]
21,221[884] - 138[2760],7[28] - 103[3240],0[0] - 0[0]
22,221[884] - 141[2820],7[28] - 103[3240],0[0] - 0[0]
23,221[884] - 146[2920],7[28] - 103[3240],0[0] - 0[0]
24,221[884] - 146[2920],7[28] - 103[3240],0[0] - 0[0]
1,66[264] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,167[668] - 3[60],5[20] - 12[385],0[0] - 0[0]
3,392[1568] - 6[120],58[232] - 25[800],0[0] - 0[0]
4,501[2004] - 15[300],18[72] - 43[1355],0[0] - 0[0]
5,640[2560] - 16[320],1[4] - 55[1720],0[0] - 0[0]
6,812[3248] - 22[440],3[12] - 67[2105],0[0] - 0[0]
7,915[3660] - 15[300],5[20] - 72[2270],0[0] - 0[0]
8,915[3660] - 19[380],5[20] - 72[2270],0[0] - 0[0]
9,915[3660] - 19[380],5[20] - 72[2270],0[0] - 0[0]
10,915[3660] - 14[280],5[20] - 72[2270],0[0] - 0[0]
11,915[3660] - 20[400],5[20] - 72[2270],0[0] - 0[0]
12,915[3660] - 20[400],5[20] - 72[2270],0[0] - 0[0]
13,915[3660] - 14[280],5[20] - 72[2270],0[0] - 0[0]
14,915[3660] - 19[380],5[20] - 72[2270],0[0] - 0[0]
15,915[3660] - 21[420],5[20] - 72[2270],0[0] - 0[0]
16,915[3660] - 16[320],5[20] - 72[2270],0[0] - 0[0]
17,915[3660] - 21[420],5[20] - 72[2270],0[0] - 0[0]
18,915[3660] - 20[400],5[20] - 72[2270],0[0] - 0[0]
19,915[3660] - 15[300],5[20] - 72[2270],0[0] - 0[0]
20,915[3660] - 20[400],5[20] - 72[2270],0[0] - 0[0]
21,915[3660] - 20[400],5[20] - 72[2270],0[0] - 0[0]
22,915[3660] - 18[360],5[20] - 72[2270],0[0] - 0[0]
23,915[3660] - 17[340],5[20] - 72[2270],0[0] - 0[0]
